Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: NDUFS6; id: 4726;	603848	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""1,801,521-1,816,162""}"	Mitochondrial complex I deficiency	252010, 618232	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 15372108; 				x
name: NEK1; id: 4750;	604588	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""170,313,960-170,533,734""}"	Short-rib thoracic dysplasia 6 with or without polydactyly, 263520 (3), Autosomal recessive, Digenic recessive	263520	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 4331366; 22499340; 4816160; 21211617		x	x	x
name: NEK8; id: 284086;	609799	Fetal	SNV		"{""id"":""chr17"",""data"":""27,055,806-27,070,473""}"	Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive	615415	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 26967905; 23418306; 26697755		x		x
name: NEK9; id: 91754;	609798	Fetal	SNV		"{""id"":""chr14"",""data"":""75,546,056-75,593,751""}"	Lethal congenital contracture syndrome 10, 617022 (3), Autosomal recessive	617022	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004				x
name: NNT; id: 23530;	607878	Fetal	SNV		"{""id"":""chr5"",""data"":""43,602,777-43,707,498""}"	Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency, 614736 (3), Autosomal recessive	614736	AR	METABOLIC		M,F	Known	30993004				x
name: NOTCH2; id: 4853;	600275	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""120,454,176-120,612,276""}"	Alagille syndrome 2, 610205 (3), Autosomal dominant, Hajdu-Cheney syndrome, 102500 (3), Autosomal dominant	102500; 610205	AD	MULTIPLE >3		M,F	Known	30993004; 8723560; 16773578				x
name: NR1H4; id: 9971;	603826	Fetal	SNV		"{""id"":""chr12"",""data"":""100,867,644-100,958,192""}"	Cholestasis, progressive familial intrahepatic, 5, 617049 (3), Autosomal recessive	617049	AR	METABOLIC		M,F	Known	30993004				x
name: NTRK1; id: 4914;	191315	Fetal	SNV		"{""id"":""chr1"",""data"":""156,785,542-156,851,642""}"	Insensitivity to pain, congenital, with anhidrosis	256800	AR	MULTIPLE >3		M,F	Known	30993004				x
name: OTX2; id: 5015;	600037	Fetal	CNV,SNV	LoF	"{""id"":""chr14"",""data"":""57,266,623-57,277,197""}"	Microphthalmia, syndromic 5, 610125 (3), Autosomal dominant, Pituitary hormone deficiency, combined, 6, 613986 (3), Autosomal dominant, Retinal dystrophy, early-onset, with or without pituitary dysfunction, 610125 (3), Autosomal dominant	610125	AD	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 22577225; 24167467		x		x
name: PAM16; id: 51025;	614336	Fetal	SNV		"{""id"":""chr16"",""data"":""4,390,252-4,401,322""}"	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melike type, 613320 (3), Autosomal recessive	613320	AR	SKELETAL		M,F	Known	30993004				x
name: PAX6; id: 5080;	607108	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""31,810,574-31,839,509""}"	Aniridia, 106210 (3), Autosomal dominant, Anterior segment dysgenesis 5, multiple subtypes, 604229 (3), Cataract with late-onset corneal dystrophy, 106210 (3), Autosomal dominant, Foveal hypoplasia 1, 136520 (3), Autosomal dominant, Keratitis, 148190 (3), Autosomal dominant, Optic nerve hypoplasia, 165550 (3), Autosomal dominant	106210	AD	NEUROLOGIC	Neonatal demise.	M,F	Known	30993004; 7951315; 19876904				x
name: PC; id: 5091;	608786	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""66,615,891-66,725,854""}"	Pyruvate carboxylase deficiency, 266150 (3), Autosomal recessive	266150	AR	METABOLIC		M,F	Known	30993004				x
name: PCCA; id: 5095;	232000	Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""100,741,347-101,182,689""}"	Propionicacidemia, 606054 (3), Autosomal recessive	606054	AR	METABOLIC		M,F	Known	30993004				x
name: PCCB; id: 5096;	232050	Fetal	SNV		"{""id"":""chr3"",""data"":""135,969,182-136,049,011""}"	Propionicacidemia, 606054 (3), Autosomal recessive	606054	AR	METABOLIC		M,F	Known	30993004				x
name: PDGFRB; id: 5159;	173410	Fetal	SNV		"{""id"":""chr5"",""data"":""149,493,402-149,535,408""}"	 Myofibromatosis, infantile	228550	AD	NEUROLOGIC		M,F	Known	30993004				x
name: PDHB; id: 5162;	179060	Fetal	SNV		"{""id"":""chr3"",""data"":""58,413,357-58,419,559""}"	Pyruvate dehydrogenase E1-beta deficiency, 614111 (3)	614111	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004;18164639; 19924563; 15138885; 26865159				x
name: PDHX; id: 8050;	608769	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""34,937,985-35,017,675""}"	Lacticacidemia due to PDX1 deficiency, 245349 (3), Autosomal recessive	245349	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 8229524; 12557299				x
name: PDP1; id: 54704;	605993	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""94,929,151-94,938,296""}"	Pyruvate dehydrogenase phosphatase deficiency, 608782 (3), Autosomal recessive	608782	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 172850; 19184109				x
name: PDSS2; id: 57107;	610564	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""107,473,766-107,780,768""}"	Coenzyme Q10 deficiency, primary, 3, 614652 (3), Autosomal recessive	614652	AR	METABOLIC		M,F	Known	30993004				x
name: PEPD; id: 5184;	613230	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""33,877,856-34,012,697""}"	Prolidase deficiency, 170100 (3), Autosomal recessive	170100	AR	SKELETAL		M,F	Known	30993004				x
name: PET100; id: 100131801;	614770	Fetal	SNV		"{""id"":""chr19"",""data"":""7,694,679-7,696,842""}"	Mitochondrial complex IV deficiency	619055	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 25293719				x
name: PIGO; id: 84720;	614730	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""35,088,685-35,096,588""}"	Hyperphosphatasia with mental retardation syndrome 2, 614749 (3), Autosomal recessive	614749	AR	MULTIPLE >3		M,F	Known	30993004				x
name: PIGV; id: 55650;	610274	Fetal	SNV		"{""id"":""chr1"",""data"":""27,113,545-27,127,150""}"	Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive	239300	AR	MULTIPLE >3		M,F	Known	30993004				x
name: PIGY; id: 84992;	610662	Fetal	SNV		"{""id"":""chr4"",""data"":""89,442,149-89,444,927""}"	Hyperphosphatasia with mental retardation syndrome 6, 616809 (3), Autosomal recessive	616809	AR	MULTIPLE >3		M,F	Known	30993004				x
name: PIP5K1C; id: 23396;	606102	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""3,630,181-3,700,466""}"	Lethal congenital contractural syndrome 3, 611369 (3), Autosomal recessive	611369	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 17701898				x
name: PITX1; id: 5307;	602149	Fetal	SNV		"{""id"":""chr5"",""data"":""134,363,424-134,369,918""}"	Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly, 119800 (3), Autosomal dominant	119800	AD	MULTIPLE >3	Prenatal demise. - Stillbirth	M,F	Known	30993004; 22258522			x	
name: PKD1L1; id: 168507;	609721	Fetal	SNV		"{""id"":""chr7"",""data"":""47,814,212-47,988,063""}"	Heterotaxy, visceral, 8, autosomal, 617205 (3), Autosomal recessive	617205	AR	CARDIOVASCULAR	Neonatal demise.	M,F	Known	30993004; 27616478				x
name: PKD2; id: 5311;	173910	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""88,928,787-88,998,929""}"	Polycystic kidney disease 2, 613095 (3), Autosomal dominant	613095	AD	RENAL	Neonatal demise.	M,F	Known	30993004; 18635443				x
name: PKLR; id: 5313;	609712	Fetal	SNV		"{""id"":""chr1"",""data"":""155,259,084-155,271,229""}"	Pyruvate kinase deficiency	266200	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 8285758				x
name: PLA2G6; id: 8398;	603604	Fetal	CNV,SNV	LoF	"{""id"":""chr22"",""data"":""38,507,502-38,577,837""}"	Infantile neuroaxonal dystrophy 1	256600	AR	MULTIPLE >3		M,F	Known	30993004; 418153				x
name: PLD1; id: 5337;	602382	Fetal	SNV		"{""id"":""chr3"",""data"":""171,318,194-171,528,273""}"	Cardiac valvular defect, developmental, 212093 (3), Autosomal recessive	212093	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 3130870; 27799408		x		x
name: PLEC; id: 5339;	601282	Fetal	SNV		"{""id"":""chr8"",""data"":""144,989,321-145,050,913""}"	Epidermolysis bullosa simplex with muscular dystrophy, Epidermolysis bullosa simplex with pyloric atresia	226670; 612138	AR	SKIN	Neonatal demise.	M,F	Known	30993004; 3355199; 8636409; 8307068; 14675180; 11122061; 15681471				x
name: PLPBP; id: 11212;	604436	Fetal	SNV		"{""id"":""chr8"",""data"":""37,620,064-37,637,286""}"	Epilepsy, early-onset, vitamin B6-dependent, 617290 (3), Autosomal recessive	617290	AR	METABOLIC		M,F	Known	30993004				x
name: PNPO; id: 55163;	603287	Fetal	SNV		"{""id"":""chr17"",""data"":""46,018,937-46,026,674""}"	Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3), Autosomal recessive	610090	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 12200739				x
name: POLA1; id: 5422;	312040	Fetal	SNV		"{""id"":""chrX"",""data"":""24,712,035-25,015,103""}"	Pigmentary disorder, reticulate, with systemic manifestations, X-linked, 301220 (3), X-linked recessive	301220	XLR	METABOLIC		M	Known	30993004				x
name: POMC; id: 5443;	176830	Fetal	SNV		"{""id"":""chr2"",""data"":""25,383,729-25,391,449""}"	Obesity, adrenal insufficiency, and red hair due to POMC deficiency, 609734 (3), Autosomal recessive	609734	AR	METABOLIC		M,F	Known	30993004; 9620771; 18765507				x
name: POMGNT1; id: 55624;	606822	Fetal	SNV		"{""id"":""chr1"",""data"":""46,654,355-46,685,977""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A	253280	AR	NEUROMUSCULAR	Prenatal and Neonatal demise.	M,F	Known	30993004; 17878207; 11320179		x		x
name: POMGNT2; id: 84892;	614828	Fetal	SNV		"{""id"":""chr3"",""data"":""43,120,726-43,147,571""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, 614830 (3), Autosomal recessive	614830	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 22958903				x
name: POMT2; id: 29954;	607439	Fetal	CNV,SNV	LoF	"{""id"":""chr14"",""data"":""77,741,299-77,787,226""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A	613150	AR	NEUROMUSCULAR		M,F	Known	30993004				x
name: POU1F1; id: 5449;	173110	Fetal	SNV		"{""id"":""chr3"",""data"":""87,308,554-87,325,734""}"	Pituitary hormone deficiency, combined, 1, 613038 (3), Autosomal recessive, Autosomal dominant	613038	AD,AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 7833912				x
name: PPIB; id: 5479;	123841	Fetal	CNV,SNV	LoF	"{""id"":""chr15"",""data"":""64,448,016-64,455,221""}"	Osteogenesis imperfecta, type IX, 259440 (3), Autosomal recessive	259440	AR	METABOLIC	Prenatal demise.	M,F	Known	30993004; 19781681		x		x
name: PROC; id: 5624;	612283	Fetal	SNV		"{""id"":""chr2"",""data"":""128,176,003-128,186,818""}"	Thrombophilia due to protein C deficiency	612304	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 6546411				x
name: PROP1; id: 5626;	601538	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""177,419,236-177,423,243""}"	Pituitary hormone deficiency, combined, 2, 262600 (3), Autosomal recessive	262600	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 12119961; 4284833				x
name: PROS1; id: 5627;	176880	Fetal	SNV		"{""id"":""chr3"",""data"":""93,591,895-93,692,740""}"	Thrombophilia due to protein S deficiency	614514	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 20484936				x
name: PRRX1; id: 5396;	167420	Fetal	SNV		"{""id"":""chr1"",""data"":""170,633,272-170,708,562""}"	Agnathia-otocephaly complex, 202650 (3), Autosomal recessive, Autosomal dominant	202650	AD,AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 12244557; 10756350; 22211708; 22674740; 23444262			x	x
name: PSAP; id: 5660;	176801	Fetal	SNV		"{""id"":""chr10"",""data"":""73,576,055-73,611,008""}"	Combined SAP deficiency, 611721 (3), Autosomal recessive, Gaucher disease, atypical, 610539 (3), Krabbe disease, atypical, 611722 (3), Autosomal recessive, Metachromatic leukodystrophy due to SAP-b deficiency, 249900 (3), Autosomal recessive	611721	AR	MULTIPLE >3	Prenatal demise.	M,F	Known	30993004; 2514102				x
name: PTF1A; id: 256297;	607194	Fetal	SNV		"{""id"":""chr10"",""data"":""23,481,241-23,483,174""}"	Pancreatic agenesis 2, 615935 (3), Autosomal recessive, Pancreatic and cerebellar agenesis, 609069 (3), Autosomal recessive	609069	AR	MULTIPLE >3		M,F	Known	30993004				x
name: PUF60; id: 22827;	604819	Fetal	SNV		"{""id"":""chr8"",""data"":""144,898,514-144,911,485""}"	Verheij syndrome, 615583 (3), Autosomal dominant	615583	AD	SKELETAL		M,F	Known	30993004				x
name: RBM8A; id: 9939;	605313	Fetal	SNV		"{""id"":""chr1"",""data"":""145,507,609-145,513,536""}"	Thrombocytopenia-absent radius syndrome, 274000 (3), Autosomal recessive	274000	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 14598347				x
name: RMND1; id: 55005;	614917	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""151,725,897-151,773,261""}"	Combined oxidative phosphorylation deficiency 11, 614922 (3), Autosomal recessive	614922	AR	METABOLIC	Prenatal demise. - Stillbirth	M,F	Known	30993004; 23022099; 18835491		x	x	x
name: RPSA; id: 3921;	150370	Fetal	SNV		"{""id"":""chr3"",""data"":""39,448,211-39,454,033""}"	Asplenia, isolated congenital, 271400 (3), Autosomal dominant	271400	AD	HEMATOPOETIC		M,F	Known	30993004				x
name: RRM2B; id: 50484;	604712	Fetal	SNV		"{""id"":""chr8"",""data"":""103,216,729-103,251,189""}"	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	612075	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 17486094				x
name: RTTN; id: 25914;	610436	Fetal	CNV,SNV	LoF	"{""id"":""chr18"",""data"":""67,670,267-67,872,923""}"	Microcephaly, short stature, and polymicrogyria with seizures, 614833 (3), Autosomal recessive	614833	AR	NEUROLOGIC	Neonatal demise.	M,F	Known	30993004; 26608784				x
name: SALL1; id: 6299;	602218	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""51,169,893-51,185,181""}"	Townes-Brocks branchiootorenal-like syndrome, 107480 (3), Autosomal dominant, Townes-Brocks syndrome 1, 107480 (3), Autosomal dominant	107480	AD	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 11484202				x
name: SAMHD1; id: 25939;	606754	Fetal	SNV		"{""id"":""chr20"",""data"":""35,518,176-35,580,111""}"	Aicardi-Goutieres syndrome 5, 612952 (3), Autosomal recessive	612952	AR	METABOLIC		M,F	Known	30993004				x
name: SCN2A; id: 6326;	182390	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""166,095,924-166,248,814""}"	Epileptic encephalopathy, early infantile, 11, 613721 (3), Autosomal dominant, Seizures, benign familial infantile, 3, 607745 (3), Autosomal dominant	613721	AD	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 23550958				x
name: SCN4A; id: 6329;	603967	Fetal	SNV		"{""id"":""chr17"",""data"":""62,015,914-62,050,278""}"	Hyperkalemic periodic paralysis, type 2, 170500 (3), Autosomal dominant, Hypokalemic periodic paralysis, type 2, 613345 (3), Autosomal dominant, Myasthenic syndrome, congenital, 16, 614198 (3), Autosomal recessive, Myotonia congenita, atypical, acetazolamide-responsive, 608390 (3), Autosomal dominant, Paramyotonia congenita, 168300 (3), Autosomal dominant	170500; 608390; 168000	AD	METABOLIC		M,F	Known	30993004				x
name: SCNN1B; id: 6338;	600760	Fetal	SNV		"{""id"":""chr16"",""data"":""23,313,623-23,392,615""}"	Pseudohypoaldosteronism, type I	264350	AR	MULTIPLE >3		M,F	Known	30993004				x
name: SCNN1G; id: 6340;	600761	Fetal	SNV		"{""id"":""chr16"",""data"":""23,194,066-23,228,204""}"	Pseudohypoaldosteronism, type I	264350	AR	MULTIPLE >3		M,F	Known	30993004				x
name: SCO1; id: 6341;	603644	Fetal	SNV		"{""id"":""chr17"",""data"":""10,575,791-10,600,850""}"	Mitochondrial complex IV deficiency	619048	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 19295170				x
name: SDHA; id: 6389;	600857	Fetal	SNV		"{""id"":""chr5"",""data"":""218,435-257,197""}"	Mitochondrial respiratory chain complex II deficiency	252011	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 20551992				x
name: SDHAF1; id: 644096;	612848	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""36,486,090-36,487,214""}"	Mitochondrial complex II deficiency, 252011 (3), Autosomal recessive	252011	AR	METABOLIC		M,F	Known	30993004				x
name: SETBP1; id: 26040;	611060	Fetal	CNV,SNV	LoF	"{""id"":""chr18"",""data"":""42,260,038-42,648,475""}"	Mental retardation, autosomal dominant 29, 616078 (3), Autosomal dominant, Schinzel-Giedion midface retraction syndrome, 269150 (3), Autosomal dominant	269150	AD	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 1920374; 8849020				x
name: SFTPA2; id: 729238;	178642	Fetal	SNV		"{""id"":""chr10"",""data"":""81,315,608-81,320,163""}"	INTERSTITIAL LUNG DISEASE 2; ILD2	178500	AD	RESPIRATORY		M,F	Known	30993004				x
name: SFTPB; id: 6439;	178640	Fetal	SNV		"{""id"":""chr2"",""data"":""85,884,430-85,895,864""}"	Surfactant metabolism dysfunction, pulmonary, 1, 265120 (3), Autosomal recessive	265120	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 10571948; 1341413				x
name: SGPL1; id: 8879;	603729	Fetal	SNV		"{""id"":""chr10"",""data"":""72,575,704-72,640,941""}"	Nephrotic syndrome 14, 617575 (3), Autosomal recessive	617575	AR	SKELETAL	Prenatal and Neonatal demise.	M,F	Known	30993004; 28165339				x
name: SH3PXD2B; id: 285590;	613293	Fetal	SNV		"{""id"":""chr5"",""data"":""171,752,185-171,881,529""}"	Frank-ter Haar syndrome, 249420 (3), Autosomal recessive	249420	AR	METABOLIC		M,F	Known	30993004				x
name: SIK1; id: 150094;	605705	Fetal	SNV		"{""id"":""chr21"",""data"":""44,834,363-44,847,011""}"	Epileptic encephalopathy, early infantile, 30, 616341 (3), Autosomal dominant	616341	AD	METABOLIC		M,F	Known	30993004				x
name: SIX3; id: 6496;	603714	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""45,168,841-45,173,210""}"	Holoprosencephaly 2, 157170 (3), Autosomal dominant, Schizencephaly, 269160 (3)	157170	AD	SKELETAL	Neonatal demise.	M,F	Known	30993004; 19353631; 891015				x
name: SLC16A2; id: 6567;	300095	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""73,641,328-73,753,751""}"	Allan-Herndon-Dudley syndrome, 300523 (3), X-linked	300523	XLR	METABOLIC		M	Known	30993004				x
name: SLC19A3; id: 80704;	606152	Fetal	SNV		"{""id"":""chr2"",""data"":""228,548,479-228,582,744""}"	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2), 607483 (3), Autosomal recessive	607483	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 23423671				x
name: SLC25A19; id: 60386;	606521	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""73,269,073-73,285,514""}"	Microcephaly, Amish type, 607196 (3), Autosomal recessive, Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type), 613710 (3), Autosomal recessive	607196	AR	MULTIPLE >3		M,F	Known	30993004				x
name: SLC25A20; id: 788;	613698	Fetal	SNV		"{""id"":""chr3"",""data"":""48,894,359-48,936,315""}"	Carnitine-acylcarnitine translocase deficiency, 212138 (3), Autosomal recessive	212138	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 8450053; 7564255; 7807931; 8739960; 24088670				x
name: SLC25A22; id: 79751;	609302	Fetal	SNV		"{""id"":""chr11"",""data"":""790,475-798,281""}"	Epileptic encephalopathy, early infantile, 3, 609304 (3), Autosomal recessive	609304	AR	METABOLIC		M,F	Known	30993004				x
name: SLC25A24; id: 29957;	608744	Fetal	SNV		"{""id"":""chr1"",""data"":""108,676,665-108,742,965""}"	Fontaine progeroid syndrome, 612289 (3), Autosomal dominant	612289	AD	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 10215548; 19731360				x
name: SLC25A26; id: 115286;	611037	Fetal	SNV		"{""id"":""chr3"",""data"":""66,119,285-66,429,351""}"	Combined oxidative phosphorylation deficiency 28, 616794 (3), Autosomal recessive	616794	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 26522469				x
name: SLC25A4; id: 291;	103220	Fetal	SNV		"{""id"":""chr4"",""data"":""186,064,420-186,071,536""}"	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD	617184	AD	METABOLIC	Neonatal demise.	M,F	Known	30993004; 27693233				x
name: SLC25A46; id: 91137;	610826	Fetal	SNV		"{""id"":""chr5"",""data"":""110,073,846-110,100,857""}"	Neuropathy, hereditary motor and sensory, type VIB, 616505 (3), Autosomal recessive	616505	AR	METABOLIC		M,F	Known	30993004				x
name: SLC35D1; id: 23169;	610804	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""67,465,033-67,519,831""}"	Schneckenbecken dysplasia, 269250 (3), Autosomal recessive	269250	AR	SKELETAL	Prenatal and Neonatal demise.	M,F	Known	30993004; 3799722; 17952091; 3799723				x
